A1,A19,A6,A14,A11,A18,A12,A8,A4,A3,A7,A15,A9,A10,A17,A13,A2,A16,A5,A20,A21
0,1,4,2,4,1,0,4,4,4,4,1,2,0,2,67,6,2,1169,0,1
1,0,0,2,2,1,0,2,4,2,2,1,1,0,2,22,48,1,5951,0,2
3,0,0,2,3,2,0,2,7,4,3,1,2,0,1,49,12,1,2096,0,1
0,0,0,2,4,2,1,2,3,2,3,2,2,2,2,45,42,1,7882,0,1
0,0,0,2,4,2,3,3,0,3,2,2,2,0,2,53,24,2,4870,0,2
3,1,4,2,4,2,3,2,7,2,2,2,2,0,1,35,36,1,9055,0,1
3,0,2,2,4,1,1,3,3,2,4,1,2,0,2,53,24,1,2835,0,1
1,1,0,2,2,1,2,2,1,2,2,0,2,0,3,35,36,1,6948,0,1
3,0,3,2,4,1,0,2,4,2,3,1,0,0,1,61,12,1,3059,0,1
1,0,0,2,2,1,2,4,0,4,0,1,3,0,3,28,30,2,5234,0,2
1,0,0,2,1,1,2,3,0,2,1,0,1,0,2,25,12,1,1295,0,2
0,0,0,2,4,1,1,3,9,2,1,0,1,0,2,24,48,1,4308,0,2
1,1,0,2,1,1,2,1,4,2,2,1,1,0,2,22,12,1,1567,0,1
0,0,0,2,4,1,2,4,0,4,4,1,2,0,1,60,24,2,1199,0,2
0,0,0,2,4,1,2,2,0,2,2,0,1,0,2,28,15,1,1403,0,1
0,0,1,2,2,1,2,4,4,2,2,1,1,0,1,32,24,1,1282,0,2
3,0,4,2,4,1,1,4,4,4,4,1,2,0,2,53,24,2,2424,0,1
0,0,4,0,3,1,2,2,9,0,1,1,2,0,2,25,30,3,8072,0,1
3,1,2,2,2,2,2,3,4,2,4,1,2,0,2,31,24,1,3430,0,1
3,1,0,2,4,1,2,4,0,4,2,1,2,0,2,48,9,3,2134,0,1
0,0,2,2,3,2,0,2,4,2,2,0,2,0,2,44,6,1,2647,0,1
0,0,0,2,3,2,0,1,0,4,1,0,2,0,1,48,10,2,2241,1,1
1,0,1,2,4,1,1,3,1,4,1,1,2,0,2,44,12,1,1804,0,1
3,0,4,2,1,1,2,2,3,4,2,1,3,0,2,26,10,2,2069,1,1
0,1,0,0,2,1,0,1,3,2,2,1,2,0,1,36,6,1,1374,0,1
3,0,0,2,4,1,2,4,4,0,4,1,3,0,1,39,6,1,426,0,1
2,0,3,2,3,1,0,3,4,1,2,0,1,0,2,42,12,2,409,0,1
1,0,0,2,2,1,0,3,4,2,2,1,2,2,2,34,7,1,2415,0,1
1,1,3,0,3,1,0,3,9,2,1,1,3,0,2,36,18,1,1913,0,1
0,0,0,1,2,1,2,2,3,2,2,1,2,0,2,27,24,1,4020,0,1
1,1,1,2,2,1,2,2,0,2,2,1,2,0,2,30,18,2,5866,0,1
3,0,4,2,4,1,3,4,9,4,4,0,2,0,1,57,12,1,1264,0,1
2,1,0,0,1,1,1,4,3,2,1,1,1,0,3,33,12,1,1474,0,1
1,0,0,2,2,1,1,4,4,4,1,1,2,0,1,25,45,2,4746,0,2
3,1,0,0,3,1,3,1,7,4,2,2,2,0,2,31,48,1,6110,0,1
2,0,0,1,2,1,0,4,4,2,2,1,2,1,2,37,18,1,2100,0,2
2,1,0,2,2,1,2,2,5,2,2,1,2,0,2,37,10,1,1225,0,1
1,0,0,2,3,1,0,4,4,2,2,1,2,0,2,24,9,1,458,0,1
3,0,2,0,2,1,2,4,4,2,4,1,2,0,3,30,30,1,2333,0,1
1,1,2,2,1,1,2,3,4,2,2,1,0,0,2,26,12,1,1158,0,1
1,1,0,2,4,2,0,2,6,3,2,1,2,0,1,44,18,1,6204,0,1
0,0,1,2,4,1,2,1,1,4,3,0,3,0,2,24,30,2,6187,0,1
0,0,0,1,4,1,3,4,1,4,4,2,1,0,1,58,48,2,6143,0,2
3,0,0,2,4,1,2,4,0,4,1,1,1,0,3,35,11,2,1393,0,1
3,0,2,2,4,1,2,4,4,2,4,1,2,0,2,39,36,1,2299,0,1
0,1,2,2,2,1,1,1,1,2,0,0,1,0,0,23,6,1,1352,0,1
3,0,0,2,4,1,1,1,0,4,2,1,2,0,1,39,11,2,7228,0,1
3,0,1,2,2,1,0,4,4,2,2,1,1,1,2,28,12,1,2073,0,1
1,0,4,0,2,1,1,4,3,3,1,1,2,0,1,29,24,1,2333,0,1
1,1,0,2,2,1,2,1,1,3,4,1,2,0,3,30,27,2,5965,0,1
3,0,0,2,2,1,2,3,4,2,2,1,2,0,2,25,12,1,1262,0,1
3,1,4,2,1,1,1,2,1,2,2,1,2,0,2,31,18,1,3378,0,1
1,1,0,0,4,1,3,4,0,3,4,2,2,0,2,57,36,2,2225,0,2
3,0,4,1,2,2,0,1,0,1,2,1,2,2,1,26,6,1,783,0,1
1,1,4,2,1,1,3,2,4,2,0,1,2,0,3,52,12,1,6468,0,2
3,0,0,1,2,1,2,2,4,4,2,1,1,0,2,31,36,2,9566,0,1
2,0,0,2,2,1,2,3,0,2,4,1,1,0,3,23,18,1,1961,0,1
0,1,0,2,4,1,3,4,3,4,1,0,1,1,1,23,36,2,6229,0,2
1,1,0,0,1,1,0,2,9,2,2,1,3,0,2,27,9,1,1391,0,1
1,1,4,2,4,1,0,4,4,4,4,1,2,2,2,50,15,2,1537,0,1
1,1,0,2,4,1,3,4,9,0,4,2,2,0,3,61,36,1,1953,0,2
3,1,0,2,4,1,1,4,4,2,1,1,1,0,2,26,24,1,3181,0,1
3,1,4,2,4,2,1,4,6,2,4,1,2,0,2,48,27,4,5190,0,1
3,0,0,0,2,1,2,2,4,2,1,1,1,0,2,29,12,1,2171,0,1
1,0,3,2,1,1,0,4,0,2,2,1,3,0,2,22,12,1,1007,0,1
3,1,0,1,4,1,3,4,7,2,2,2,2,0,2,37,36,1,1819,0,2
3,0,4,2,4,1,2,4,4,2,2,1,1,0,2,25,36,1,2394,0,1
3,0,0,0,2,1,1,1,1,2,2,1,1,0,2,30,36,1,8133,0,1
3,1,4,2,2,1,1,4,4,4,4,0,2,0,1,46,7,2,730,0,1
0,1,0,0,4,2,3,3,2,4,4,2,2,0,3,51,8,2,1164,0,1
1,0,0,0,1,1,0,2,9,4,3,1,1,0,1,41,42,2,5954,0,1
0,1,4,2,4,1,3,4,7,2,4,1,2,0,3,40,36,1,1977,0,2
0,0,0,2,4,1,3,4,1,4,4,2,2,0,3,66,12,2,1526,0,1
0,0,0,2,3,1,2,4,4,2,1,1,2,0,2,34,42,1,3965,0,2
1,0,0,2,4,1,1,2,4,3,3,1,2,0,2,51,11,1,4771,0,1
3,0,4,2,2,2,1,2,1,0,2,1,2,0,1,39,54,1,9436,0,1
1,0,0,2,1,1,1,2,3,2,1,1,3,0,2,22,30,1,3832,0,1
3,1,4,2,1,1,2,1,4,2,1,1,1,0,2,44,24,2,5943,0,2
3,1,2,1,3,1,1,4,4,2,4,1,2,0,2,47,15,1,1213,0,1
3,0,1,2,4,1,1,3,9,2,2,0,1,0,1,24,18,1,1568,0,1
0,1,0,2,4,1,0,4,2,2,4,1,1,2,1,58,24,1,1755,0,1
0,0,0,2,4,1,0,3,4,2,4,1,2,0,1,52,10,1,2315,0,1
3,1,0,2,2,1,0,4,9,4,2,1,1,2,3,29,12,2,1412,0,1
1,0,0,2,1,1,1,4,3,4,1,1,1,0,2,27,18,2,1295,0,1
