,A1,A19,A6,A14,A11,A18,A12,A8,A4,A3,A7,A15,A9,A10,A17,A13,A2,A16,A5,A20,A21
0,0.0,1.0,4.0,2.0,4.0,1.0,0.0,4.0,4.0,4.0,4.0,1.0,2.0,0.0,2.0,1.0,-0.0,2.0,-0.0,0.0,1
1,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,4.0,2.0,2.0,1.0,1.0,0.0,2.0,-0.0,1.0,1.0,1.0,0.0,2
2,3.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,7.0,4.0,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0,1
3,0.0,0.0,0.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1
4,0.0,0.0,0.0,2.0,4.0,2.0,3.0,3.0,0.0,3.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,2
5,3.0,1.0,4.0,2.0,4.0,2.0,3.0,2.0,7.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1
6,3.0,0.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0,2.0,4.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,-0.0,0.0,1
7,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1
8,3.0,0.0,3.0,2.0,4.0,1.0,0.0,2.0,4.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.0,0.0,1
9,1.0,0.0,0.0,2.0,2.0,1.0,2.0,4.0,0.0,4.0,0.0,1.0,3.0,0.0,3.0,-0.0,1.0,2.0,1.0,0.0,2
10,1.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,-0.0,1.0,1.0,-0.0,0.0,2
